fold,held_out_group,batch_size,sequence_length,new_tokens,budget_mib,policy,prediction_extrapolates_from_fold_range,oracle_gpu_layers,oracle_generation_ms,selected_gpu_layers,actual_selected_peak_mib,actual_selected_generation_ms,regret_pct,budget_excess_mib,matches_oracle,status
6,4/128/32,4,128,32,640,compute_transfer,False,12,360.088504,12,590.43896484375,360.088504,0.0,0.0,True,feasible
6,4/128/32,4,128,32,768,max_gpu,False,12,360.088504,12,590.43896484375,360.088504,0.0,0.0,True,feasible
6,4/128/32,4,128,32,768,compute,False,12,360.088504,12,590.43896484375,360.088504,0.0,0.0,True,feasible
6,4/128/32,4,128,32,768,compute_transfer,False,12,360.088504,12,590.43896484375,360.088504,0.0,0.0,True,feasible
6,4/128/32,4,128,32,1024,max_gpu,False,12,360.088504,12,590.43896484375,360.088504,0.0,0.0,True,feasible
6,4/128/32,4,128,32,1024,compute,False,12,360.088504,12,590.43896484375,360.088504,0.0,0.0,True,feasible
6,4/128/32,4,128,32,1024,compute_transfer,False,12,360.088504,12,590.43896484375,360.088504,0.0,0.0,True,feasible
7,4/32/32,4,32,32,256,max_gpu,False,3,1940.5204455,0,0.0,3343.6640915,72.30759404024016,0.0,False,feasible
7,4/32/32,4,32,32,256,compute,False,3,1940.5204455,0,0.0,3343.6640915,72.30759404024016,0.0,False,feasible
7,4/32/32,4,32,32,256,compute_transfer,False,3,1940.5204455,0,0.0,3343.6640915,72.30759404024016,0.0,False,feasible
7,4/32/32,4,32,32,320,max_gpu,False,3,1940.5204455,3,255.74609375,1940.5204455,0.0,0.0,True,feasible
7,4/32/32,4,32,32,320,compute,False,3,1940.5204455,3,255.74609375,1940.5204455,0.0,0.0,True,feasible
7,4/32/32,4,32,32,320,compute_transfer,False,3,1940.5204455,3,255.74609375,1940.5204455,0.0,0.0,True,feasible
7,4/32/32,4,32,32,384,max_gpu,False,6,1432.543648,6,348.10888671875,1432.543648,0.0,0.0,True,feasible
7,4/32/32,4,32,32,384,compute,False,6,1432.543648,6,348.10888671875,1432.543648,0.0,0.0,True,feasible
7,4/32/32,4,32,32,384,compute_transfer,False,6,1432.543648,6,348.10888671875,1432.543648,0.0,0.0,True,feasible
7,4/32/32,4,32,32,448,max_gpu,False,9,909.1005205,6,348.10888671875,1432.543648,57.57813527728588,0.0,False,feasible
7,4/32/32,4,32,32,448,compute,False,9,909.1005205,6,348.10888671875,1432.543648,57.57813527728588,0.0,False,feasible
7,4/32/32,4,32,32,448,compute_transfer,False,9,909.1005205,6,348.10888671875,1432.543648,57.57813527728588,0.0,False,feasible
7,4/32/32,4,32,32,512,max_gpu,False,9,909.1005205,9,441.01220703125,909.1005205,0.0,0.0,True,feasible
7,4/32/32,4,32,32,512,compute,False,9,909.1005205,9,441.01220703125,909.1005205,0.0,0.0,True,feasible
7,4/32/32,4,32,32,512,compute_transfer,False,9,909.1005205,9,441.01220703125,909.1005205,0.0,0.0,True,feasible
7,4/32/32,4,32,32,640,max_gpu,False,12,307.163628,12,533.91552734375,307.163628,0.0,0.0,True,feasible
7,4/32/32,4,32,32,640,compute,False,12,307.163628,12,533.91552734375,307.163628,0.0,0.0,True,feasible
7,4/32/32,4,32,32,640,compute_transfer,False,12,307.163628,12,533.91552734375,307.163628,0.0,0.0,True,feasible
7,4/32/32,4,32,32,768,max_gpu,False,12,307.163628,12,533.91552734375,307.163628,0.0,0.0,True,feasible
7,4/32/32,4,32,32,768,compute,False,12,307.163628,12,533.91552734375,307.163628,0.0,0.0,True,feasible
7,4/32/32,4,32,32,768,compute_transfer,False,12,307.163628,12,533.91552734375,307.163628,0.0,0.0,True,feasible
7,4/32/32,4,32,32,1024,max_gpu,False,12,307.163628,12,533.91552734375,307.163628,0.0,0.0,True,feasible
7,4/32/32,4,32,32,1024,compute,False,12,307.163628,12,533.91552734375,307.163628,0.0,0.0,True,feasible
7,4/32/32,4,32,32,1024,compute_transfer,False,12,307.163628,12,533.91552734375,307.163628,0.0,0.0,True,feasible
8,4/512/32,4,512,32,256,max_gpu,False,0,12140.1791565,0,0.0,12140.1791565,0.0,0.0,True,feasible
8,4/512/32,4,512,32,256,compute,False,0,12140.1791565,0,0.0,12140.1791565,0.0,0.0,True,feasible
8,4/512/32,4,512,32,256,compute_transfer,False,0,12140.1791565,0,0.0,12140.1791565,0.0,0.0,True,feasible
8,4/512/32,4,512,32,320,max_gpu,False,0,12140.1791565,0,0.0,12140.1791565,0.0,0.0,True,feasible
8,4/512/32,4,512,32,320,compute,False,0,12140.1791565,0,0.0,12140.1791565,0.0,0.0,True,feasible
8,4/512/32,4,512,32,320,compute_transfer,False,0,12140.1791565,0,0.0,12140.1791565,0.0,0.0,True,feasible
8,4/512/32,4,512,32,384,max_gpu,False,0,12140.1791565,0,0.0,12140.1791565,0.0,0.0,True,feasible
8,4/512/32,4,512,32,384,compute,False,0,12140.1791565,0,0.0,12140.1791565,0.0,0.0,True,feasible
8,4/512/32,4,512,32,384,compute_transfer,False,0,12140.1791565,0,0.0,12140.1791565,0.0,0.0,True,feasible
8,4/512/32,4,512,32,448,max_gpu,False,3,9078.113287,3,406.8857421875,9078.113287,0.0,0.0,True,feasible
8,4/512/32,4,512,32,448,compute,False,3,9078.113287,3,406.8857421875,9078.113287,0.0,0.0,True,feasible
8,4/512/32,4,512,32,448,compute_transfer,False,3,9078.113287,3,406.8857421875,9078.113287,0.0,0.0,True,feasible
8,4/512/32,4,512,32,512,max_gpu,False,3,9078.113287,3,406.8857421875,9078.113287,0.0,0.0,True,feasible
8,4/512/32,4,512,32,512,compute,False,3,9078.113287,3,406.8857421875,9078.113287,0.0,0.0,True,feasible
8,4/512/32,4,512,32,512,compute_transfer,False,3,9078.113287,3,406.8857421875,9078.113287,0.0,0.0,True,feasible
8,4/512/32,4,512,32,640,max_gpu,False,6,6153.942788,6,527.0,6153.942788,0.0,0.0,True,feasible
8,4/512/32,4,512,32,640,compute,False,6,6153.942788,6,527.0,6153.942788,0.0,0.0,True,feasible
8,4/512/32,4,512,32,640,compute_transfer,False,6,6153.942788,6,527.0,6153.942788,0.0,0.0,True,feasible
8,4/512/32,4,512,32,768,max_gpu,False,9,2562.276686,9,647.1142578125,2562.276686,0.0,0.0,True,feasible
8,4/512/32,4,512,32,768,compute,False,9,2562.276686,9,647.1142578125,2562.276686,0.0,0.0,True,feasible
8,4/512/32,4,512,32,768,compute_transfer,False,9,2562.276686,9,647.1142578125,2562.276686,0.0,0.0,True,feasible
8,4/512/32,4,512,32,1024,max_gpu,False,12,529.1756215,12,808.60693359375,529.1756215,0.0,0.0,True,feasible
8,4/512/32,4,512,32,1024,compute,False,12,529.1756215,12,808.60693359375,529.1756215,0.0,0.0,True,feasible
8,4/512/32,4,512,32,1024,compute_transfer,False,12,529.1756215,12,808.60693359375,529.1756215,0.0,0.0,True,feasible
