case_index,batch_size,sequence_length,new_tokens,gpu_layers,layout,prefill_ms_median,prefill_input_tokens_per_s_median,ttft_ms_median,generation_ms_median,decode_ms_median,decode_tpot_ms_median,decode_generated_tokens_per_s_median,generation_generated_tokens_per_s_median,repeats,generation_p95_over_median,pooled_generation_tokens_per_s,workload_group,gpu_peak_allocated_bytes,gpu_parameter_bytes,gpu_buffer_bytes,cpu_parameter_bytes,final_kv_gpu_bytes,final_cached_positions
9,1,512,32,3,prefix,886.769041,577.3771112122542,894.027753,2102.940787,1210.998706,39.06447438709678,25.5987481079801,15.216798146781393,10,1.8830985001243403,12.275899676094223,B1_S512_N32,300809216,242595840,3145728,255163392,10008576,543
2,1,512,32,6,prefix,622.9100985,821.9780253454021,614.740313,1522.8258885,900.5359155000001,29.049545661290324,34.42402768170997,21.013564864870066,10,2.11305851959188,17.180629349213103,B1_S512_N32,401068032,327650304,6291456,170108928,20017152,543
27,1,512,32,9,prefix,342.79173249999997,1493.6628902925345,339.99457900000004,1037.1012765,698.4538555,22.530769532258063,44.41198992604903,30.863760187587804,10,2.2416046887393835,24.401251074317216,B1_S512_N32,501440000,412704768,9437184,85054464,30025728,543
21,1,512,32,12,prefix,31.9918155,16004.114537119309,51.4710775,303.0373255,251.33120000000002,8.10745806451613,123.34596937271104,105.59783765247786,10,1.0542377993301026,104.4017670415374,B1_S512_N32,612741632,497759232,12582912,0,40034304,543
44,2,32,32,0,prefix,198.5413665,322.8922171399065,195.4850515,1839.3212595,1645.120537,53.068404419354835,37.68723358516311,34.79568314762286,10,2.142714389068366,28.330005503053105,B2_S32_N32,0,0,0,497759232,0,63
19,2,32,32,3,prefix,132.77594349999998,482.01503344856076,130.31592,1139.652447,1010.9648179999999,32.611768322580645,61.32829834621623,56.15759630667276,10,1.9562575072064914,47.87268585329987,B2_S32_N32,262184448,242595840,3145728,255163392,2322432,63
34,2,32,32,6,prefix,97.65616299999999,655.3605860787723,92.93427,891.9043505,798.7021035,25.764583983870967,77.6259478347288,71.75683561878841,10,2.253291908233604,58.277723033283365,B2_S32_N32,354992640,327650304,6291456,170108928,4644864,63
7,2,32,32,9,prefix,50.422599,1269.296088281591,50.8309115,598.2150220000001,546.4368455000001,17.626995016129033,113.46618049140599,106.98787182407486,10,2.6037726016014338,82.51562211640737,B2_S32_N32,447800832,412704768,9437184,85054464,6967296,63
4,2,32,32,12,prefix,9.47392,6756.097370204943,9.484223499999999,293.389837,283.70734200000004,9.151849741935484,218.53505812979796,218.13988569541172,10,1.0469510896861773,219.199690852264,B2_S32_N32,540609024,497759232,12582912,0,9289728,63
30,2,128,32,0,prefix,592.15624,432.33663158163847,607.470412,2477.5892885000003,1836.7878345,59.251220467741945,33.75626544805539,25.831686935007,10,1.8216631009623447,21.472929719090796,B2_S128_N32,0,0,0,497759232,0,159
